time,bit_cnt_r [3:0],clk,cs_n_r,gpio_dir_r [15:0],gpio_in [15:0],gpio_in_i [15:0],gpio_out_o [15:0],gpio_out_r [15:0],gpio_sync1_r [15:0],gpio_sync2_r [15:0],haddr [31:0],haddr_i [31:0],haddr_r [31:0],half_done_w,hrdata_o [31:0],hrdata_w [31:0],hready_o,hresp_o,hsize [2:0],hsize_i [2:0],htrans [1:0],htrans_i [1:0],hwdata [31:0],hwdata_i [31:0],hwrite,hwrite_i,hwrite_r,irq [7:0],irq_enable_r [7:0],irq_i [7:0],irq_pending_r [7:0],irq_status_w [7:0],irq_sync1_r [7:0],irq_sync2_r [7:0],k,paddr_i [7:0],prdata_reg_i [31:0],pvalid_o,pwdata_i [31:0],pwr_mode [1:0],pwr_mode_i [1:0],pwr_mode_r [1:0],pwrite_i,ri,rst_n,rx_baud_done,rx_baud_r [9:0],rx_bit_r [2:0],rx_err_r,rx_half_done,rx_last_bit,rx_state_nxt [1:0],rx_state_r [1:0],rx_sync1_r,rx_sync2_r,rx_valid_r,sclk_r,sel_gpio_o,sel_irq_o,sel_pwr_o,sel_reg_o,sel_spi_o,sel_uart_o,shift_done_w,slp_time_r [31:0],spi_cs_n_o,spi_div_cnt_r [7:0],spi_div_r [7:0],spi_miso,spi_miso_i,spi_mosi_o,spi_sclk_o,spi_start_w,spi_state_nxt [1:0],spi_state_r [1:0],sram_addr [17:0],sram_addr_i [17:0],sram_ben [3:0],sram_ben_i [3:0],sram_rdata [31:0],sram_rdata_o [31:0],sram_ren,sram_ren_i,sram_wdata [31:0],sram_wdata_i [31:0],sram_wen,sram_wen_i,sw_ctrl_r [1:0],transfer_r,tx_baud_done,tx_baud_r [9:0],tx_bit_r [3:0],tx_busy_r,tx_frame_r [9:0],tx_last_bit,tx_out_r,tx_shift_r [7:0],tx_start_w,tx_state_nxt,tx_state_r,u_soc.u_gpio_ctrl.prdata_o [31:0],u_soc.u_gpio_ctrl.prdata_w [31:0],u_soc.u_gpio_ctrl.pvalid_i,u_soc.u_irq_ctrl.prdata_o [31:0],u_soc.u_irq_ctrl.prdata_w [31:0],u_soc.u_irq_ctrl.pvalid_i,u_soc.u_pwr_ctrl.clk,u_soc.u_pwr_ctrl.prdata_o [31:0],u_soc.u_pwr_ctrl.prdata_w [31:0],u_soc.u_pwr_ctrl.pvalid_i,u_soc.u_pwr_ctrl.rst_n,u_soc.u_spi_master.prdata_o [31:0],u_soc.u_spi_master.prdata_w [31:0],u_soc.u_spi_master.pvalid_i,u_soc.u_spi_master.rx_data_r [7:0],u_soc.u_spi_master.rx_shift_r [7:0],u_soc.u_uart_ctrl.prdata_o [31:0],u_soc.u_uart_ctrl.prdata_w [31:0],u_soc.u_uart_ctrl.pvalid_i,u_soc.u_uart_ctrl.rx_data_r [7:0],u_soc.u_uart_ctrl.rx_shift_r [7:0],uart_rx,uart_rx_i,uart_tx_o
50000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,0,0,0,0,0,0,0,0,11111111,0,0,0,0,0,x,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
55000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,0,0,0,0,0,0,0,0,11111111,0,0,0,0,0,x,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
60000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,0,0,0,0,0,0,0,0,11111111,0,0,0,0,0,x,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
65000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,0,0,0,0,0,0,0,0,11111111,0,0,0,0,0,x,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
70000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,0,0,0,0,0,0,0,0,11111111,0,0,0,0,0,x,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
75000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,0,0,0,0,0,0,0,0,11111111,0,0,0,0,0,x,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
80000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,0,0,0,0,0,0,0,0,11111111,0,0,0,0,0,x,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
85000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,0,0,0,0,0,0,0,0,11111111,0,0,0,0,0,x,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
90000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,0,0,0,0,0,0,0,0,11111111,0,0,0,0,0,x,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
95000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,0,0,0,0,0,0,0,0,11111111,0,0,0,0,0,x,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
96000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,0,0,0,0,0,0,0,0,11111111,0,0,0,0,0,x,0,0,0,0,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
100000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,0,0,0,0,0,0,0,0,11111111,0,0,0,0,0,x,0,0,0,0,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
105000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,0,0,0,0,0,0,0,0,11111111,0,0,0,0,0,x,0,0,0,0,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
106000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,10,10,0,0,1,1,0,0,11111111,0,0,0,0,0,x,0,0,0,0,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
110000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,10,10,0,0,1,1,0,0,11111111,0,0,0,0,0,x,0,0,0,0,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
115000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,10,10,0,0,1,1,1,0,11111111,0,0,0,0,0,x,0,0,1,0,0,0,0,1,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
116000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,0,0,11011110101011011011111011101111,11011110101011011011111011101111,0,0,1,0,11111111,0,0,0,0,0,x,0,0,1,11011110101011011011111011101111,0,0,0,1,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
120000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,0,0,11011110101011011011111011101111,11011110101011011011111011101111,0,0,1,0,11111111,0,0,0,0,0,x,0,0,1,11011110101011011011111011101111,0,0,0,1,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
125000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11011110101011011011111011101111,11011110101011011011111011101111,1,0,10,10,0,0,11011110101011011011111011101111,11011110101011011011111011101111,0,0,0,0,11111111,0,0,0,0,0,x,0,11011110101011011011111011101111,0,11011110101011011011111011101111,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
126000,0,1,1,0,0,0,0,0,0,0,100,100,0,0,11011110101011011011111011101111,11011110101011011011111011101111,1,0,10,10,10,10,11011110101011011011111011101111,11011110101011011011111011101111,1,1,0,0,11111111,0,0,0,0,0,x,0,11011110101011011011111011101111,0,11011110101011011011111011101111,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
130000,0,0,1,0,0,0,0,0,0,0,100,100,0,0,11011110101011011011111011101111,11011110101011011011111011101111,1,0,10,10,10,10,11011110101011011011111011101111,11011110101011011011111011101111,1,1,0,0,11111111,0,0,0,0,0,x,0,11011110101011011011111011101111,0,11011110101011011011111011101111,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,11111111,11111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
135000,0,1,1,0,0,0,0,0,0,0,100,100,100,0,0,0,1,0,10,10,10,10,11011110101011011011111011101111,11011110101011011011111011101111,1,1,1,0,11111111,0,0,0,0,0,x,100,0,1,11011110101011011011111011101111,0,0,0,1,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,11,0,0,0,0,0,0,0,0,1,1,1
136000,0,1,1,0,0,0,0,0,0,0,100,100,100,0,0,0,1,0,10,10,0,0,11001010111111101011101010111110,11001010111111101011101010111110,0,0,1,0,11111111,0,0,0,0,0,x,100,0,1,11001010111111101011101010111110,0,0,0,1,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,11,0,0,0,0,0,0,0,0,1,1,1
140000,0,0,1,0,0,0,0,0,0,0,100,100,100,0,0,0,1,0,10,10,0,0,11001010111111101011101010111110,11001010111111101011101010111110,0,0,1,0,11111111,0,0,0,0,0,x,100,0,1,11001010111111101011101010111110,0,0,0,1,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,11,0,0,0,0,0,0,0,0,1,1,1
145000,0,1,1,0,0,0,0,0,0,0,100,100,100,0,11001010111111101011101010111110,11001010111111101011101010111110,1,0,10,10,0,0,11001010111111101011101010111110,11001010111111101011101010111110,0,0,0,0,11111111,0,0,0,0,0,x,100,11001010111111101011101010111110,0,11001010111111101011101010111110,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,11,0,0,0,0,0,0,0,0,1,1,1
146000,0,1,1,0,0,0,0,0,0,0,1000,1000,100,0,11001010111111101011101010111110,11001010111111101011101010111110,1,0,10,10,10,10,11001010111111101011101010111110,11001010111111101011101010111110,1,1,0,0,11111111,0,0,0,0,0,x,100,11001010111111101011101010111110,0,11001010111111101011101010111110,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,11,0,0,0,0,0,0,0,0,1,1,1
150000,0,0,1,0,0,0,0,0,0,0,1000,1000,100,0,11001010111111101011101010111110,11001010111111101011101010111110,1,0,10,10,10,10,11001010111111101011101010111110,11001010111111101011101010111110,1,1,0,0,11111111,0,0,0,0,0,x,100,11001010111111101011101010111110,0,11001010111111101011101010111110,0,0,0,0,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,11,0,0,0,0,0,0,0,0,1,1,1
155000,0,1,1,0,0,0,0,0,0,0,1000,1000,1000,0,0,0,1,0,10,10,10,10,11001010111111101011101010111110,11001010111111101011101010111110,1,1,1,0,11111111,0,0,0,0,0,x,1000,0,1,11001010111111101011101010111110,0,0,0,1,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
156000,0,1,1,0,0,0,0,0,0,0,1000,1000,1000,0,0,0,1,0,10,10,0,0,10010001101000101011001111000,10010001101000101011001111000,0,0,1,0,11111111,0,0,0,0,0,x,1000,0,1,10010001101000101011001111000,0,0,0,1,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
160000,0,0,1,0,0,0,0,0,0,0,1000,1000,1000,0,0,0,1,0,10,10,0,0,10010001101000101011001111000,10010001101000101011001111000,0,0,1,0,11111111,0,0,0,0,0,x,1000,0,1,10010001101000101011001111000,0,0,0,1,x,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1111,1111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1111111111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
